path,session,subject_id,finger_id,image_name,height,width,channels,size_bytes,status
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_1\01.jpg,1st_session,001,1,01.jpg,480,640,3,9872,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_1\02.jpg,1st_session,001,1,02.jpg,480,640,3,9763,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_1\03.jpg,1st_session,001,1,03.jpg,480,640,3,9718,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_1\04.jpg,1st_session,001,1,04.jpg,480,640,3,9833,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_1\05.jpg,1st_session,001,1,05.jpg,480,640,3,9616,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_1\06.jpg,1st_session,001,1,06.jpg,480,640,3,9730,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_2\01.jpg,1st_session,001,2,01.jpg,480,640,3,10042,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_2\02.jpg,1st_session,001,2,02.jpg,480,640,3,10130,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_2\03.jpg,1st_session,001,2,03.jpg,480,640,3,10060,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_2\04.jpg,1st_session,001,2,04.jpg,480,640,3,10028,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_2\05.jpg,1st_session,001,2,05.jpg,480,640,3,10083,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_2\06.jpg,1st_session,001,2,06.jpg,480,640,3,9937,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_3\01.jpg,1st_session,001,3,01.jpg,480,640,3,9809,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_3\02.jpg,1st_session,001,3,02.jpg,480,640,3,9746,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_3\03.jpg,1st_session,001,3,03.jpg,480,640,3,9831,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_3\04.jpg,1st_session,001,3,04.jpg,480,640,3,9839,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_3\05.jpg,1st_session,001,3,05.jpg,480,640,3,9827,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_3\06.jpg,1st_session,001,3,06.jpg,480,640,3,9917,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_4\01.jpg,1st_session,001,4,01.jpg,480,640,3,9982,OK
E:\topoVein-Iampro\Published_database_FV-USM_Dec2013\Published_database_FV-USM_Dec2013\1st_session\raw_data\001_4\02.jpg,1st_session,001,4,02.jpg,480,640,3,9944,OK
