path,session,subject_id,image_name,grade,vein_ratio,components,skeleton_len,issues
binary\1st_session\001_1\01_binary.png,1st_session,001_1,01_binary.png,WARN,0.8032,6,3244,high_vein_ratio=0.803
binary\1st_session\001_1\02_binary.png,1st_session,001_1,02_binary.png,WARN,0.7981,2,2673,high_vein_ratio=0.798
binary\1st_session\001_1\03_binary.png,1st_session,001_1,03_binary.png,WARN,0.7978,4,2800,high_vein_ratio=0.798
binary\1st_session\001_1\04_binary.png,1st_session,001_1,04_binary.png,WARN,0.7957,1,3303,high_vein_ratio=0.796
binary\1st_session\001_1\05_binary.png,1st_session,001_1,05_binary.png,WARN,0.7962,2,2915,high_vein_ratio=0.796
binary\1st_session\001_1\06_binary.png,1st_session,001_1,06_binary.png,WARN,0.795,1,2682,high_vein_ratio=0.795
binary\1st_session\001_2\01_binary.png,1st_session,001_2,01_binary.png,WARN,0.8059,2,3144,high_vein_ratio=0.806
binary\1st_session\001_2\02_binary.png,1st_session,001_2,02_binary.png,WARN,0.8079,4,3425,high_vein_ratio=0.808
binary\1st_session\001_2\03_binary.png,1st_session,001_2,03_binary.png,WARN,0.7962,2,2031,high_vein_ratio=0.796
binary\1st_session\001_2\04_binary.png,1st_session,001_2,04_binary.png,WARN,0.7926,5,2463,high_vein_ratio=0.793
binary\1st_session\001_2\05_binary.png,1st_session,001_2,05_binary.png,WARN,0.8045,4,2432,high_vein_ratio=0.805
binary\1st_session\001_2\06_binary.png,1st_session,001_2,06_binary.png,WARN,0.7945,2,2252,high_vein_ratio=0.794
binary\1st_session\001_3\01_binary.png,1st_session,001_3,01_binary.png,WARN,0.797,6,2977,high_vein_ratio=0.797
binary\1st_session\001_3\02_binary.png,1st_session,001_3,02_binary.png,WARN,0.8002,4,3236,high_vein_ratio=0.800
binary\1st_session\001_3\03_binary.png,1st_session,001_3,03_binary.png,WARN,0.8076,4,2844,high_vein_ratio=0.808
binary\1st_session\001_3\04_binary.png,1st_session,001_3,04_binary.png,WARN,0.7948,6,2739,high_vein_ratio=0.795
binary\1st_session\001_3\05_binary.png,1st_session,001_3,05_binary.png,WARN,0.7839,5,3770,high_vein_ratio=0.784
binary\1st_session\001_3\06_binary.png,1st_session,001_3,06_binary.png,WARN,0.7786,6,2824,high_vein_ratio=0.779
